Country,birthRate,deathRate,lifeExpectancy,GDP,infantMortalityRate,unempRate,medianAge,GDP_Cap,Gini,ISO3
Turkmenistan,19.3,6.1,70.1,94770000000,35.5,11,27.5,17300,40.8,TKM
Ukraine,10.5,14.4,71.8,3.50E+11,8,10,40.4,8200,24.6,UKR
United Kingdom,12.1,9.4,80.7,2.79E+12,4.3,5.1,40.5,42500,32.4,GBR
United States,12.5,8.2,79.8,1.86E+13,5.8,4.7,37.9,57300,45,USA
Uruguay,13,9.4,77.2,73930000000,8.5,7.6,34.7,21600,45.3,URY
Uzbekistan,16.9,5.3,73.8,2.02E+11,18.6,4.9,28.1,6500,36.8,UZB
Venezuela,19.2,5.2,75.8,4.69E+11,12.5,10.5,28,15100,39,VEN
Vietnam,15.7,5.9,73.4,5.95E+11,17.8,3.7,30.1,6400,37.6,VNM
Yemen,29.2,6.1,65.5,73450000000,47.4,27,19.2,2500,37.9,YEM
Zambia,41.8,12.4,52.5,65170000000,62.9,15,16.7,3900,57.5,ZMB
Zimbabwe,31.9,9.9,58,28330000000,25.9,95,20.6,2000,50.1,ZWE
